Name,Teff,e_Teff,R*,e_R*,log(g),e_log(g),[Fe/H],e_[Fe/H],M*,e_M*,logAge,e_logAge,plx,Vmag,Notes,SCat,unknown,Gaia,2M,Simbad,_RA,_DE,simbadnames,ID_NAME
HD_80606,5525,60,1.13,0.11,4.31,0.05,0.29,0.05,0.98,0.05,9.98,0.15,15.3,9.0,A,1,1,Gaia,2M,Simbad,140.65657,50.60373,2MASS_J09223756+5036134|AG+50__786|AGKR__8437|BD+51__1500|BD+51__1500B|BDS__5037_B|CCDM_J09226+5036B|CSI+51__1500__2|CSV_101040|GC_12912|GSC_03431-00046|HD__80606|HIC__45982|HIP__45982|IDS_09158+5102_B|NSV__4463|PPM__32122|SAO__27230|SPOCS__421|SV*_ZI___748|TYC_3431-46-1|YZ__50__3367|uvby98_100080606|Gaia_DR2_1019003226022657920|WDS_J09227+5036B|**_STF_1341B|Gaia_DR1_1019003221726733696|GEN#_+1.00080606,Gaia_DR2_1019003226022657920
HD_8407,4923,60,4.92,0.67,3.05,0.05,-0.12,0.05,0.97,0.17,10.01,0.23,6.3,7.8,A,1,1,Gaia,2M,Simbad,20.76089,-16.56031,2MASS_J01230258-1633372|SPOCS_2471|BD-17___248|GC__1675|GSC_05852-02038|HD___8407|HIC___6458|HIP___6458|PPM_210108|SAO_147771|SKY#__2087|SRS___3762|TYC_5852-2038-1|YZ_106___344|uvby98_100008407|Gaia_DR1_2451577606119851520|GEN#_+1.00008407|Gaia_DR2_2451577610414636672,Gaia_DR2_2451577610414636672
HD_84737,5872,60,1.55,0.19,4.1,0.05,0.14,0.05,1.13,0.09,9.8,0.12,54.3,5.1,A,2,1,Gaia,2M,Simbad,147.14738,46.02101,PLX_2316|LSPM_J0948+4601|TYC_3433-1531-1|ASCC__326905|USNO-B1.0_1360-00202003|*__15_LMi|AG+46__800|BD+46__1551|FK5_1255|GC_13497|GCRV__6291|GEN#_+1.00084737|GJ___368|HD__84737|HIC__48113|HIP__48113|HR__3881|IRAS_09453+4615|JP11__1863|LTT_12601|N30_2345|NLTT_22625|PMC_90-93___860|PPM__51497|ROT__1509|SAO__43046|SKY#_18945|SPOCS__431|TD1_14272|UBV____9239|UBV_M__15708|uvby98_100084737|2MASS_J09483533+4601155|PLX_2316.00|WISEA_J094835.61+460114.6|[MWB97]_136|RX_J0948.6+4601|WEB__8991|Gaia_DR2_821455861647126656,Gaia_DR2_821455861647126656
HD_8553,5054,60,0.8,0.04,4.48,0.05,-0.01,0.05,0.81,0.04,10.01,0.41,32.1,8.5,A,1,1,Gaia,2M,Simbad,21.22477,18.49993,[SMM2006]_SPG_176|PLX__289|SPOCS_2478|LSPM_J0124+1829|TYC_1200-98-1|ASCC__832194|UCAC2__38191658|2MASS_J01245392+1829599|USNO-B1.0_1084-00020752|AG+18__112|BD+17___202|Ci_20__101|G__33-56|G__34-28|GC__1702|GCRV___800|GEN#_+1.00008553|GJ__9056|HD___8553|HIC___6613|HIP___6613|LFT__132|LHS__1246|LTT_10506|NLTT__4698|PM_01222+1815|PPM_117314|SAO__92422|UBV_M___8160|YZ__18___401|YZC_18___401|PLX__289.00|WISEA_J012454.34+182957.8|Gaia_DR1_2786053063377432448|WEB__1447|Gaia_DR2_2786053067672564736,Gaia_DR2_2786053067672564736
HD_8594,4800,60,5.4,0.73,3.07,0.05,0.14,0.05,1.26,0.2,9.73,0.24,10.7,7.2,A,2,1,Gaia,2M,Simbad,21.42318,44.78654,SPOCS_2479|AG+44__148|AGKR__1221|BD+44___302|GSC_02825-02451|HD___8594|HIC___6682|HIP___6682|IRAS_01227+4431|PMC_90-93__1663|PPM__43972|SAO__37196|SKY#__2152|TYC_2825-2451-1|2MASS_J01254154+4447116|WISEA_J012541.68+444711.3|Gaia_DR2_397236616062139904,Gaia_DR2_397236616062139904
HD_86081,5939,60,1.52,0.18,4.14,0.05,0.23,0.05,1.19,0.09,9.69,0.11,9.7,8.7,A,1,1,Gaia,2M,Simbad,149.02466,-3.80842,SPOCS_2748|BD-03__2815|GSC_04899-00942|HD__86081|HIC__48711|HIP__48711|PPM_192901|SAO_137236|TYC_4899-942-1|YZ__93__3860|2MASS_J09560593-0348303|Gaia_DR2_3823126385045210880|Gaia_DR1_3823126380749703168,Gaia_DR2_3823126385045210880
HD_87424,5017,60,0.76,0.03,4.56,0.05,-0.05,0.05,0.81,0.04,9.66,0.51,43.2,8.1,A,1,1,Gaia,2M,Simbad,151.15691,-11.7297,V*_V417_Hya|BD-11__2787|FK5_4894|GC_13851|GSC_05484-00594|HD__87424|HIC__49366|HIP__49366|LTT__3689|NLTT_23331|PPM_222416|SAO_155709|SKY#_19406|SPOCS__438|SRS___9448|TYC_5484-594-1|YZC_11__3844|2MASS_J10043766-1143469|Gaia_DR1_3766401957398155136|Gaia_DR2_3766401961693098368,Gaia_DR2_3766401961693098368
HD_87883,4942,60,0.78,0.04,4.5,0.05,0.13,0.05,0.81,0.04,9.92,0.48,55.3,7.5,A,1,1,Gaia,2M,Simbad,152.17975,34.242259999999995,AG+34_1066|BD+34__2089|GSC_02506-00894|HD__87883|HIC__49699|HIP__49699|IRAS_10057+3429|PPM__75021|SAO__61890|SKY#_19525|SPOCS__440|TYC_2506-894-1|Gaia_DR2_747266452000257280|2MASS_J10084315+3414322|Gaia_DR1_747266447704593408,Gaia_DR2_747266452000257280
HD_88133,5392,60,2.02,0.24,3.88,0.05,0.33,0.05,1.18,0.1,9.82,0.12,13.5,8.1,A,1,1,Gaia,2M,Simbad,152.53198999999995,18.186870000000006,SPOCS_2752|LSPM_J1010+1811|TYC_1422-1130-1|ASCC__863340|2MASS_J10100767+1811132|USNO-B1.0_1081-00213892|AG+18_1033|BD+18__2326|Ci_18_1215|G__43-30|GC_13963|GEN#_+1.00088133|HD__88133|HIC__49813|HIP__49813|LTT_12725|NLTT_23562|PPM_127164|SAO__98978|UBV_M__15973|YZ__18__4055|YZC_18__4055|uvby98_100088133|Gaia_DR2_623408253837371392|WISEA_J101007.67+181109.9|Gaia_DR1_623408249542044416,Gaia_DR2_623408253837371392
HD_88654,5197,60,2.94,0.37,3.59,0.05,0.19,0.05,1.24,0.15,9.73,0.16,9.9,7.7,A,1,1,Gaia,2M,Simbad,153.31845,-8.44555,SPOCS_2754|BD-07__2985|GC_14035|GSC_05490-00888|HD__88654|HIC__50061|HIP__50061|PPM_193205|SAO_137417|SKY#_19656|SRS___9543|TYC_5490-888-1|YZ__98__3931|[TDQ2000]_NRX_17|uvby98_100088654|1RXS_J101317.3-082702|Gaia_DR1_3768948769924888448|GEN#_+1.00088654|Gaia_DR2_3768948774220203648,Gaia_DR2_3768948774220203648
