Name,Teff,e_Teff,R*,e_R*,log(g),e_log(g),[Fe/H],e_[Fe/H],M*,e_M*,logAge,e_logAge,plx,Vmag,Notes,SCat,unknown,Gaia,2M,Simbad,_RA,_DE,simbadnames,ID_NAME
HD_100623,5140,60,0.72,0.04,4.56,0.05,-0.36,0.05,0.75,0.04,9.81,0.5,104.6,6.0,A,1,1,Gaia,2M,Simbad,173.62286,-32.831340000000004,PLX_2678|CD-32__8179|CPC_17__5727|CPD-32__3122|Ci_20__648|GC_15873|GCRV__7038|GEN#_+1.00100623|GJ___432_A|HD_100623|HIC__56452|HIP__56452|HR__4458|IRAS_11320-3233|JP11__2074|LFT__823|LHS___308|LPM_389|LTT__4280|N30_2704|NLTT_27854|PM_11320-3234A|PPM_289079|Ruiz_439-246|SAO_202583|SKY#_21930|SPOCS__496|TYC_7220-866-1|UBV___10441|UBV_M__17193|Zkh_161|uvby98_100100623|WDS_J11345-3250A|**_LDS_6245A|CCDM_J11345-3250A|UCAC3_115-141011|2MASS_J11342953-3249533|PM_11320-3234|WISEA_J113428.91-324944.0|Gaia_DR1_3478127463341507072|WEB_10144|Gaia_DR2_3478127463341507072,Gaia_DR2_3478127463341507072
HD_101904,5883,60,1.54,0.19,4.1,0.05,0.12,0.05,1.12,0.09,9.8,0.11,12.5,8.2,A,1,1,Gaia,2M,Simbad,176.00117,64.9642,SPOCS_2801|AG+65__578|AGKR_10518|BD+65___848|GC_16096|GSC_04156-00128|HD_101904|HIC__57221|HIP__57221|PPM__17989|SAO__15616|TYC_4156-128-1|uvby98_100101904|2MASS_J11440028+6457511|Gaia_DR1_864491807613289600|GEN#_+1.00101904|Gaia_DR2_864492018067010560,Gaia_DR2_864492018067010560
HD_102195,5277,60,0.85,0.05,4.5,0.05,0.1,0.05,0.89,0.04,9.74,0.49,34.0,8.1,A,1,1,Gaia,2M,Simbad,176.42622,2.82148,SPOCS_2802|LSPM_J1145+0249|TYC__275-157-1|ASCC_1135957|USNO-B1.0_0928-00272956|AG+03_1541|AGKR_10555|BD+03__2549|GC_16129|HD_102195|HIC__57370|HIP__57370|LTT_13232|NLTT_28458|PPM_158179|SAO_119033|SRS__10561|YZ___3__4348|Gaia_DR2_3799626935341796096|2MASS_J11454228+0249174|1RXS_J114542.1+024924|SDSS_J114542.28+024917.0|WISEA_J114542.16+024916.1|EPIC_201650346|Gaia_DR1_3799626931046821504,Gaia_DR2_3799626935341796096
HD_102444,5227,60,2.67,0.39,3.6,0.05,0.0,0.05,1.02,0.21,9.98,0.27,8.5,8.0,A,1,1,Gaia,2M,Simbad,176.88109,-5.26362,Gaia_DR2_3598898374589122432|UCAC4_424-055472|SPOCS_2803|BD-04__3144|GSC_04937-01052|HD_102444|HIC__57536|HIP__57536|PPM_194816|SAO_138405|TYC_4937-1052-1|YZ__94__4413|2MASS_J11473146-0515490|EPIC_201151359|Gaia_DR1_3598898370292838528,Gaia_DR2_3598898374589122432
HD_102956,4985,60,3.79,0.47,3.38,0.05,0.26,0.05,1.3,0.15,9.7,0.17,8.1,7.9,A,1,1,Gaia,2M,Simbad,177.8438,57.64073000000001,SPOCS_2804|AG+57__830|AGKR_10629|BD+58__1340|GC_16229|GSC_03839-00846|HD_102956|HIC__57820|HIP__57820|PMC_90-93__3460|PPM__33272|SAO__28161|SKY#_22377|TYC_3839-846-1|YZ__57__6924|uvby98_100102956|Gaia_DR2_845335158256083584|2MASS_J11512253+5738267|UCAC3_296-111735|Gaia_DR1_845335153961255680|GEN#_+1.00102956,Gaia_DR2_845335158256083584
HD_103459,5722,60,1.71,0.21,4.03,0.05,0.24,0.05,1.15,0.12,9.81,0.15,16.0,7.6,A,2,1,Gaia,2M,Simbad,178.71649,-1.45149,PLX_2755|SPOCS_2809|AG-01_1627|AGKR_10683|BD-00__2510|GC_16290|GCRV__7186|GEN#_+1.00103459|GSC_04932-00592|HD_103459|HIC__58093|HIP__58093|LTT__4431|NLTT_28935|PPM_178629|SAO_138476|SKY#_22447|SRS__10651|TYC_4932-592-1|YZ__91__3322|uvby98_100103459|2MASS_J11545196-0127054|PLX_2755.00|WISEA_J115452.05-012708.4|EPIC_201367296|WEB_10400|Gaia_DR2_3602296587073060224,Gaia_DR2_3602296587073060224
HD_103890,6120,60,1.43,0.16,4.19,0.05,0.03,0.05,1.17,0.07,9.63,0.09,13.7,8.0,A,1,1,Gaia,2M,Simbad,179.44244,-8.27528,SPOCS_2814|BD-07__3323|GSC_05518-00363|HD_103890|HIC__58333|HIP__58333|PPM_195008|SAO_138502|SKY#_22524|TYC_5518-363-1|YZ__97__4425|uvby98_100103890|2MASS_J11574618-0816309|Gaia_DR1_3594215344111465344|GEN#_+1.00103890|Gaia_DR2_3594215344111465344,Gaia_DR2_3594215344111465344
HD_104437,5761,60,1.03,0.09,4.4,0.05,0.17,0.05,1.03,0.04,9.64,0.35,16.6,8.6,A,1,1,Gaia,2M,Simbad,180.42003,39.58659,SPOCS_2817|AG+39_1229|AGKR_10784|BD+40__2490|FK5_5058|GEN#_+1.00104437|GSC_03017-00599|HD_104437|HIC__58656|HIP__58656|NGP_40__59|PPM__76224|SAO__62803|TYC_3017-599-1|UBV_M__17629|uvby98_100104437|2MASS_J12014079+3935118|Gaia_DR1_4034726362722863360|Gaia_DR2_4034726367018683520,Gaia_DR2_4034726367018683520
HD_106088,5470,60,2.07,0.26,3.87,0.05,0.34,0.05,1.23,0.12,9.75,0.13,10.3,8.4,A,1,1,Gaia,2M,Simbad,183.10271,19.80102,SPOCS_2824|AG+20_1323|AGKR_10941|BD+20__2693|GSC_01444-01850|HD_106088|HIC__59525|HIP__59525|PPM_128857|SAO__82184|TYC_1444-1850-1|YZ__20__4464|2MASS_J12122465+1948035|Gaia_DR1_3951357645893823872|Gaia_DR2_3951357650189291392,Gaia_DR2_3951357650189291392
HD_107181,5628,60,1.64,0.21,4.05,0.05,0.31,0.05,1.13,0.12,9.86,0.15,12.5,8.4,A,1,1,Gaia,2M,Simbad,184.86392,-26.10737,SPOCS_2830|GC_16801|CD-25__9167|CPD-25__4923|GSC_06685-00894|HD_107181|HIC__60096|HIP__60096|PPM_260162|SAO_180680|TYC_6685-894-1|YZ_115__9313|uvby98_100107181|2MASS_J12192733-2606264|WISEA_J121927.38-260627.5|Gaia_DR1_3476529082673374592|GEN#_+1.00107181|Gaia_DR2_3476529086968390912,Gaia_DR2_3476529086968390912
HD_108189,5373,60,2.89,0.41,3.56,0.05,0.03,0.05,1.15,0.21,9.81,0.23,7.5,7.7,A,1,1,Gaia,2M,Simbad,186.41909,-0.28218000000000004,SPOCS_2831|AG-00_1731|AGKR_11128|BD+00__2942|GSC_04941-00102|HD_108189|HIC__60641|HIP__60641|PPM_178782|SAO_138774|SKY#_23265|SRS__10983|TYC_4941-102-1|YZ__90__3412|uvby98_100108189|2MASS_J12254058-0016557|1RXS_J122540.1-001646|SDSS_J122540.60-001656.0|Gaia_DR1_3696625746907767168|GEN#_+1.00108189|Gaia_DR2_3696625751204285568,Gaia_DR2_3696625751204285568
HD_108863,4878,60,5.59,0.66,3.08,0.05,0.2,0.05,1.37,0.14,9.61,0.15,5.8,7.7,A,1,1,Gaia,2M,Simbad,187.58296,21.94824,SPOCS_2833|AG+22_1323|AGKR_11193|BD+22__2478|GC_17044|GEN#_+1.00108863|GSC_01447-02345|HD_108863|HIC__61020|HIP__61020|PPM_101948|SAO__82342|SKY#_23386|TYC_1447-2345-1|UBV_M__18292|YZ__22__4529|Gaia_DR2_3952692457305436800|2MASS_J12301991+2156537|Gaia_DR1_3952692453009845632,Gaia_DR2_3952692457305436800
HD_109159,5151,60,2.57,0.32,3.6,0.05,-0.08,0.05,0.93,0.13,10.09,0.17,9.7,8.0,A,1,1,Gaia,2M,Simbad,188.17179,-17.220679999999998,SPOCS_2836|BD-16__3488|GSC_06103-00098|HD_109159|HIC__61218|HIP__61218|PPM_225994|SAO_157351|SKY#_23456|SRS__11058|TYC_6103-98-1|YZ_106__4815|uvby98_100109159|2MASS_J12324124-1713145|Gaia_DR1_3517300176421129600|GEN#_+1.00109159|Gaia_DR2_3517300180717085568,Gaia_DR2_3517300180717085568
HD_109749,5825,60,1.31,0.15,4.24,0.05,0.24,0.05,1.1,0.08,9.78,0.13,15.9,8.1,A,1,1,Gaia,2M,Simbad,189.31824,-40.81212,CD-40__7393A|2MASS_J12371639-4048435|UCAC4_246-055662|UCAC3_99-121719|TYC_7762-1479-1|**_R__203A|WDS_J12373-4049A|IDS_12319-4016_A|CCDM_J12373-4049A|HD_109749A|Gaia_DR1_6147000074988843264|SPOCS_2840|CD-40__7393|CPC__0_10543|CPD-40__5823|CSI-40__5823_41|GC_17187|HD_109749|HIC__61595|HIP__61595|PPM_317622|SAO_223556|uvby98_100109749|Gaia_DR2_6147000074988843264|GEN#_+1.00109749,Gaia_DR2_6147000074988843264
HD_10995,5688,60,2.87,0.34,3.67,0.05,0.1,0.05,1.45,0.19,9.5,0.17,11.0,7.3,A,1,1,Gaia,2M,Simbad,27.08668,17.02276,2MASS_J01482080+1701219|SPOCS_2524|AG+16__170|BD+16___204|GC__2192|GCRV__1008|GSC_01206-00960|HD__10995|HIC___8399|HIP___8399|PPM_117688|SAO__92638|SKY#__2674|TYC_1206-960-1|YZ__16___513|uvby98_100010995|Gaia_DR1_91436211599730816|GEN#_+1.00010995|WEB__1785|Gaia_DR2_91436215895144704,Gaia_DR2_91436215895144704
HD_110463,4906,60,0.76,0.03,4.55,0.05,0.06,0.05,0.8,0.04,9.73,0.52,44.1,8.3,A,1,1,Gaia,2M,Simbad,190.43551,55.72467,SPOCS_2843|V*_NP_UMa|NSV_19460|AC2000_1833644|AG+55__857|BD+56__1618|GCRV__7630|GEN#_+1.00110463|GJ__3743|GSC_03844-00479|HD_110463|HIC__61946|HIP__61946|JP11__2274|PPM__33682|SAO__28480|TYC_3844-479-1|UBV___11390|UBV_M__18515|YZ__55__7269|[ZEH2003]_RX_J1241.7+5543__1|1RXS_J124144.8+554327|RX_J1241.7+5543|2MASS_J12414450+5543288|Gaia_DR1_1571411229462195584|WEB_11015|Gaia_DR2_1571411233756165248,Gaia_DR2_1571411233756165248
HD_110537,5718,60,1.14,0.11,4.3,0.05,0.08,0.05,0.99,0.04,9.92,0.13,21.5,7.8,A,2,1,Gaia,2M,Simbad,190.74719,-4.04933,[SMM2006]_SPG_140|PLX_2928|BD-03__3341|Ci_18_1611|G__13-54|GC_17297|HD_110537|HIC__62039|HIP__62039|LTT__4852|NLTT_31642|PPM_195766|SAO_138928|SKY#_23707|SPOCS__538|YZ__93__4660|YZC_17__4660|uvby98_100110537|2MASS_J12425933-0402571|PLX_2928.00|TYC_4952-735-1|WISEA_J124259.17-040259.3|GEN#_+1.00110537|Gaia_DR2_3681795018676501120,Gaia_DR2_3681795018676501120
HD_110743,5198,60,0.84,0.05,4.47,0.05,0.01,0.05,0.84,0.04,9.98,0.4,22.9,8.8,A,2,1,Gaia,2M,Simbad,190.97652,34.343720000000005,SBC9_3576|SPOCS_2844|LSPM_J1243+3420|TYC_2533-1313-1|ASCC__587942|UCAC2__43793954|USNO-B1.0_1243-00200369|AG+34_1218|AGKR_11400|BD+35__2369|Ci_18_1615|G_164-15|GC_17317|GEN#_+1.00110743|GSC_02533-01313|HD_110743|HIC__62124|HIP__62124|LTT_13626|NGP_35_133|NLTT_31697|PPM__76685|SAO__63163|UBV_M__18556|[M60b]+34_361|2MASS_J12435441+3420375|Gaia_DR2_1515243640027361024,Gaia_DR2_1515243640027361024
HD_110833,4999,60,0.8,0.04,4.51,0.05,0.18,0.05,0.83,0.04,9.86,0.5,66.4,7.0,A,2,1,Gaia,2M,Simbad,191.0606,51.7593,SBC9_3625|PLX_2933|SPOCS_2845|LSPM_J1244+5145|TYC_3458-2234-1|ASCC__257857|USNO-B1.0_1417-00250695|AG+52__901|BD+52__1650|Ci_20__735|G_199-36|GC_17326|GCRV__7644|GEN#_+1.00110833|GJ___483|HD_110833|HIC__62145|HIP__62145|LTT_13630|NLTT_31724|PPM__33702|SAO__28499|SKY#_23737|UBV___11438|UBV_M__18570|YZ__52__4133|YZC_26__4133|uvby98_100110833|2MASS_J12441457+5145336|PLX_2933.00|[ZEH2003]_RX_J1244.2+5145__1|RX_J1244.2+5145|1RXS_J124414.7+514545|WISEA_J124414.07+514531.2|WEB_11045|Gaia_DR2_1568219729458240128,Gaia_DR2_1568219729458240128
HD_111814,5646,60,1.94,0.24,3.93,0.05,0.22,0.05,1.2,0.11,9.76,0.14,12.4,8.1,A,1,1,Gaia,2M,Simbad,192.93984,19.22883,SPOCS_2847|AG+19_1242|BD+20__2768|GEN#_+1.00111814|GSC_01452-00336|HD_111814|HIC__62769|HIP__62769|PPM_129397|SAO_100304|TYC_1452-336-1|YZ___0__1111|YZ__19__4628|uvby98_100111814|**_SHJ__123C|ADS__8690_C|BD+19__2613C|CCDM_J12519+1912C|CSI+19__2613__3|WDS_J12519+1910C|2MASS_J12514555+1913438|Gaia_DR1_3941988054478827264|Gaia_DR2_3941988058774148992,Gaia_DR2_3941988058774148992
HD_112415,5574,60,1.23,0.13,4.25,0.05,0.28,0.05,1.0,0.06,9.99,0.13,14.8,8.7,A,1,1,Gaia,2M,Simbad,194.08818,6.89312,SPOCS_2848|LSPM_J1256+0653|ASCC_1044491|USNO-B1.0_0968-00245248|AG+07_1689|BD+07__2594|GSC_00297-00117|HD_112415|HIC__63147|HIP__63147|LTT_13719|NLTT_32350|PPM_159324|SAO_119676|TYC__297-117-1|YZ___7__6268|2MASS_J12562115+0653353|Gaia_DR1_3706441980562275712|Gaia_DR2_3706441984858459520,Gaia_DR2_3706441984858459520
HD_112914,4816,60,0.7,0.03,4.51,0.05,-0.26,0.05,0.71,0.03,10.0,0.45,41.4,8.6,A,2,1,Gaia,2M,Simbad,194.88659,41.98676,SBC9_1742|LSPM_J1259+4159|ASCC__409814|UCAC2__46291288|USNO-B1.0_1319-00266841|AG+42_1188|AGKR_11632|BD+42__2361|G_123-79|G_177-9|GCRV_63743|GEN#_+1.00112914|HD_112914|HIC__63406|HIP__63406|LTT_13738|MCC_883|NGP_42_177|NLTT_32537|PMC_90-93__3662|PPM__53299|SAO__44415|SPOCS__549|TYC_3023-1872-1|2MASS_J12593278+4159126|WISEA_J125932.55+415914.2|NGP_42_176|WEB_11224|Gaia_DR2_1527631807474248448,Gaia_DR2_1527631807474248448
HD_114659,4838,60,5.45,0.72,3.08,0.05,0.17,0.05,1.34,0.2,9.64,0.22,5.1,8.3,A,1,1,Gaia,2M,Simbad,197.95297,12.73044,SPOCS_2855|AG+12_1468|AGKR_11806|BD+13__2643|GEN#_+1.00114659|GSC_00890-00363|HD_114659|HIC__64387|HIP__64387|PPM_129649|SAO_100454|TYC__890-363-1|UBV_M__19138|YZ__12__4791|2MASS_J13114871+1243495|Gaia_DR1_3736818841138291072|Gaia_DR2_3736818845433590272,Gaia_DR2_3736818845433590272
HD_116442,5155,60,0.72,0.04,4.54,0.05,-0.38,0.05,0.74,0.04,9.88,0.49,59.7,7.1,A,1,1,Gaia,2M,Simbad,200.91314,2.72333,GJ__3781|[K37]_1-8|Ci_18_1728|TYC__303-1283-1|ASCC_1138797|LSPM_J1323+0243W|USNO-B1.0_0927-00293928|ADS__8883_A|AG+02_1666|BD+03__2765|CCDM_J13237+0243A|GC_18114|GCRV_64077|GEN#_+1.00116442|HD_116442|HIC__65352|HIP__65352|IDS_13186+0314_A|LTT_13889|NLTT_33954|PPM_159721|SAO_119909|SKY#_24713|SPOCS__564|UBV___12081|UBV_M__19338|YZ___2__4708|uvby98_100116442|2MASS_J13233916+0243239|WDS_J13237+0243A|AKARI-IRC-V1_J1323391+024325|WISE_J132339.18+024326.1|WISEA_J132339.17+024326.0|Gaia_DR1_3712538703818695424|Gaia_DR2_3712538708114516736,Gaia_DR2_3712538708114516736
HD_122253,5007,60,3.78,0.52,3.36,0.05,0.03,0.05,1.24,0.21,9.72,0.25,9.0,7.8,A,1,1,Gaia,2M,Simbad,209.923,42.04981,SPOCS_2867|AG+42_1251|AGKR_12517|BD+42__2455|FK5_5239|GSC_03030-00577|HD_122253|HIC__68369|HIP__68369|PMC_90-93__3829|PPM__53852|SAO__44833|SKY#_25652|TYC_3030-577-1|2MASS_J13594151+4202593|Gaia_DR1_1498814256249216640|Gaia_DR2_1498814260545232384,Gaia_DR2_1498814260545232384
HD_122973,5989,60,1.07,0.06,4.46,0.05,0.2,0.05,1.12,0.04,9.2,0.25,20.6,8.1,A,2,1,Gaia,2M,Simbad,211.29454,-9.04851,SPOCS_2871|BD-08__3693|GC_19011|GSC_05554-00617|HD_122973|HIC__68805|HIP__68805|PPM_197181|SAO_139725|TYC_5554-617-1|YZ__98__5000|uvby98_100122973|WISEA_J140510.61-090254.4|EPIC_212667055|2MASS_J14051069-0902545|GEN#_+1.00122973|Gaia_DR2_3615871020189864832,Gaia_DR2_3615871020189864832
HD_123239,4795,60,5.96,0.89,2.94,0.05,-0.05,0.05,1.18,0.24,9.78,0.29,6.5,8.4,A,2,1,Gaia,2M,Simbad,211.68781,-14.09527,SPOCS_2872|BD-13__3825|GSC_05560-00673|HD_123239|HIC__68943|HIP__68943|PPM_228308|SAO_158359|SRS__12067|TYC_5560-673-1|YZC_11__4977|2MASS_J14064506-1405430|Gaia_DR2_6301513005226843520,Gaia_DR2_6301513005226843520
HD_124257,5911,60,1.46,0.16,4.15,0.05,0.15,0.05,1.13,0.08,9.76,0.11,8.7,9.2,A,1,1,Gaia,2M,Simbad,212.75412000000003,50.25232000000001,HD_124257|**_STF_1814A|SPOCS_2874|LSPM_J1411+5015|ASCC__259524|ADS__9147_A|AG+50_1025|BD+50__2054A|CCDM_J14110+5015A|CSI+50__2054__1|GC_19147|LTT_14148|NLTT_36518|PPM__34390|SAO__29032|TYC_3471-774-1|YZ__50__4455|2MASS_J14110097+5015084|USNO-B1.0_1402-00262501|WDS_J14110+5015A|Gaia_DR1_1511593055265661056|Gaia_DR2_1511593059561180032,Gaia_DR2_1511593059561180032
HD_125607,4985,60,3.91,0.51,3.35,0.05,0.1,0.05,1.26,0.18,9.71,0.22,4.8,8.1,A,1,1,Gaia,2M,Simbad,214.86337000000003,37.60997,SPOCS_2877|AG+37_1338|BD+38__2544|GSC_03035-00482|HD_125607|HIC__70003|HIP__70003|PPM__77823|SAO__64066|TYC_3035-482-1|uvby98_100125607|2MASS_J14192721+3736359|Gaia_DR1_1484569980032137984|GEN#_+1.00125607|Gaia_DR2_1484569984328261632,Gaia_DR2_1484569984328261632
HD_126583,5482,60,0.88,0.06,4.49,0.05,0.0,0.05,0.92,0.04,9.65,0.45,28.7,8.1,A,1,1,Gaia,2M,Simbad,216.49273,13.43326,SPOCS_2879|LSPM_J1425+1325|TYC__915-737-1|ASCC__957414|USNO-B1.0_1034-00229362|AG+13_1390|BD+14__2733|Ci_18_1896|G_135-49|G__65-51|GC_19469|GEN#_+1.00126583|HD_126583|HIC__70557|HIP__70557|LTT_14247|NLTT_37316|PPM_130571|SAO_101019|UBV_M__20179|YZ__13__5108|YZC_19__5108|uvby98_100126583|2MASS_J14255829+1325599|WISEA_J142558.04+132558.5|Gaia_DR1_1227659295676441472|Gaia_DR2_1227659299972032128,Gaia_DR2_1227659299972032128
HD_128311,4918,60,0.79,0.04,4.49,0.05,0.19,0.05,0.81,0.04,9.95,0.49,60.4,7.4,A,2,1,Gaia,2M,Simbad,219.00233,9.74652,Gaia_DR2_1176209886733406592|LSPM_J1436+0944|TYC__910-165-1|ASCC_1047672|2MASS_J14360055+0944474|USNO-B1.0_0997-00253041|V*_HN_Boo|GSC_00910-00165|AG+09_1729|AGKR_13043|BD+10__2710|Ci_18_1921|G__66-11|G_135-72|GC_19679|GEN#_+1.00128311|GJ__3860|HD_128311|HIC__71395|HIP__71395|IRAS_14335+0957|LTT_14312|NLTT_37851|PPM_160797|SAO_120554|SKY#_26559|SPOCS__606|UBV_M__20261|YZ___9__5152|YZC_19__5152|uvby98_100128311|EUVE_J1436+09.7|1RXS_J143600.5+094453|RX_J1436.0+0944|WISEA_J143600.72+094444.5,Gaia_DR2_1176209886733406592
HD_130048,4964,60,6.29,0.71,3.02,0.05,0.28,0.05,1.52,0.13,9.47,0.13,5.4,7.1,A,1,1,Gaia,2M,Simbad,221.55626,-7.79695,SPOCS_2889|BD-07__3903|GSC_05565-00670|HD_130048|HERZ_14152|HIC__72218|HIP__72218|IRAS_14435-0735|PPM_197900|SAO_140127|SKY#_26828|SRS__12500|TYC_5565-670-1|YZ__97__5182|uvby98_100130048|2MASS_J14461349-0747490|GEN#_+1.00130048|Gaia_DR2_6327509583276135168,Gaia_DR2_6327509583276135168
HD_130307,4985,60,0.74,0.04,4.56,0.05,-0.13,0.05,0.78,0.04,9.74,0.51,50.8,7.8,A,2,1,Gaia,2M,Simbad,221.81709,2.70322,LSPM_J1447+0242|TYC__329-1467-1|ASCC_1141668|USNO-B1.0_0927-00317919|V*_QY_Vir|GSC_00329-01467|AG+02_1778|BD+03__2938|Ci_18_1952|G__66-24|G_124-70|GC_19902|GEN#_+1.00130307|GJ__3867|HD_130307|HIC__72312|HIP__72312|LTT_14377|NLTT_38369|PPM_160967|SAO_120663|SKY#_26854|SPOCS__617|UBV_M__20372|YZ___2__5054|YZC_20__5054|uvby98_100130307|2MASS_J14471609+0242116|PLX_3344.01|Pul_-3_1230492|2XMM_J144716.4+024218|SDSS_J144716.09+024211.7|2XMM_J144716.0+024211|WISEA_J144715.91+024210.3|Gaia_DR2_3655492127855307136,Gaia_DR2_3655492127855307136
HD_131511,5259,60,0.86,0.06,4.47,0.05,0.13,0.05,0.88,0.04,9.9,0.46,86.7,6.0,A,2,1,Gaia,2M,Simbad,223.34903,19.1528,CABS_120|PLX_3367|SBC9_820|LSPM_J1453+1909|ASCC__871314|2E__3344|AG+19_1397|BD+19__2881|Ci_20__894|GC_20037|GCRV__8648|GEN#_+1.00131511|GJ___567|GSC_01481-00694|HD_131511|HIC__72848|HIP__72848|HR__5553|IRAS_14511+1921|LAL_27137|LFT_1153|LHS__5279|LTT_14413|NLTT_38694|NSV__6847|PPM_130966|RBS__1441|SAO_101276|SKY#_27033|SPOCS__625|TYC_1481-694-1|UBV___12969|UBV_M__20439|V*_DE_Boo|YPAC_180|YZ__19__5383|2MASS_J14532374+1909104|USNO-B1.0_1091-00230934|PLX_3367.00|1RXS_J145324.3+190915|2E_1451.1+1921|EUVE_J1453+19.1|RX_J1453.4+1909|[ZEH2003]_RX_J1453.4+1909__1|WISEA_J145323.43+190912.4|uvby98_100131511|WEB_12513|Gaia_DR2_1236929488664453376,Gaia_DR2_1236929488664453376
HD_131582,4728,60,0.67,0.03,4.52,0.05,-0.33,0.05,0.68,0.03,10.0,0.46,40.9,8.6,A,1,1,Gaia,2M,Simbad,223.42321,23.34519,PLX_3368|SPOCS_2893|LSPM_J1453+2320|ASCC__782758|UCAC2__40028290|USNO-B1.0_1133-00232883|AG+23_1426|AGKR_13306|BD+23__2751|CCDM_J14537+2321A|CSI+23__2751__1|Ci_20__895|G_166-52|G_167-2|GC_20049|GCRV__8650|GEN#_+1.00131582|GJ__9500|GSC_02017-00466|HD_131582|HIC__72875|HIP__72875|IDS_14493+2345_A|LAL_27155|LFT_1154|LHS__2996|LTT_14415|NLTT_38717|SAO__83571|TYC_2017-466-1|UBV___12973|UBV_M__20442|YZ__23__5191|YZC_25__5191|uvby98_100131582|2MASS_J14534156+2320426|PLX_3368.00|WDS_J14537+2321A|WISEA_J145340.94+232042.8|Gaia_DR1_1265702913393573760|WEB_12514|Gaia_DR2_1265702917689682944,Gaia_DR2_1265702917689682944
HD_132254,6157,60,1.55,0.19,4.14,0.05,0.16,0.05,1.26,0.08,9.56,0.08,39.7,5.6,A,1,1,Gaia,2M,Simbad,224.09599999999998,49.62845,PLX_3382|SPOCS_2894|LSPM_J1456+4937|TYC_3477-1326-1|ASCC__332836|USNO-B1.0_1396-00248378|AG+49_1174|BD+50__2126|FK5_3179|GC_20119|GCRV__8671|GEN#_+1.00132254|GJ__3880|HD_132254|HIC__73100|HIP__73100|HR__5581|IRAS_14547+4949|LTT_14437|NLTT_38880|PMC_90-93__1356|PPM__54423|ROT__2132|SAO__45288|SKY#_27124|TD1_17853|UBV_M__20474|YZ__49__4648|uvby98_100132254|2MASS_J14562301+4937425|PLX_3382.00|WISEA_J145623.15+493740.0|Gaia_DR1_1592338509149257600|WEB_12531|Gaia_DR2_1592338513445876608,Gaia_DR2_1592338513445876608
HD_133125,5506,60,0.86,0.06,4.49,0.05,-0.13,0.05,0.89,0.04,9.71,0.44,17.7,8.8,A,2,1,Gaia,2M,Simbad,225.57969,19.39059,SPOCS_2895|AG+19_1404|BD+19__2910|GSC_01488-00598|HD_133125|HIC__73577|HIP__73577|PPM_131082|SAO_101343|TYC_1488-598-1|YZ__19__5429|2MASS_J15021915+1923262|Gaia_DR2_1212955599693310848,Gaia_DR2_1212955599693310848
HD_135101A,5677,60,1.28,0.14,4.2,0.05,0.04,0.05,0.98,0.05,10.01,0.09,30.7,6.7,A,1,1,Gaia,2M,Simbad,228.18117,19.28604,GJ__3896|PLX_3435|ASCC__871903|2MASS_J15124358+1917088|ADS__9535_A|AG+19_1419|BD+19__2939A|BD+19__2939|CCDM_J15127+1917A|CSI+19__2939__2|Ci_20__917|G_136-77|GC_20457|GCRV__8797|GEN#_+1.00135101A|HD_135101|HIC__74432|HIP__74432|HR__5659|IDS_15083+1939_A|IRAS_15104+1928|LFT_1183|LHS__3036|LTT_14523|NLTT_39601|PM_15105+1928|PPM_131219|SAO_101437|SKY#_27562|SPOCS__641|TYC_1489-1252-1|UBV___13123|YZ__19__5479|YZC_18__5479|uvby98_100135101_A|LSPM_J1512+1917S|USNO-B1.0_1092-00233979|WDS_J15127+1917A|HD_135101A|**_STF_1919A|WISEA_J151243.08+191715.9|Gaia_DR1_1212384983222623744|WEB_12703|Gaia_DR2_1212385193677160832,Gaia_DR2_1212385193677160832
HD_135872,4992,60,3.37,0.46,3.44,0.05,0.12,0.05,1.16,0.2,9.84,0.25,11.7,7.3,A,1,1,Gaia,2M,Simbad,229.42172,-5.20242,Gaia_DR1_6334990312498272640|SPOCS_2900|BD-04__3855|GSC_05010-00324|HD_135872|HIC__74842|HIP__74842|IRAS_15150-0501|PPM_198434|SAO_140435|SKY#_27703|TYC_5010-324-1|YZ__95__5346|2MASS_J15174121-0512087|Gaia_DR2_6334990316794611200,Gaia_DR2_6334990316794611200
HD_137778,5128,60,0.83,0.05,4.52,0.05,0.27,0.05,0.89,0.04,9.66,0.5,48.1,7.5,A,2,1,Gaia,2M,Simbad,232.05088,-9.35786,WDS_J15282-0921B|BD-08__3983|BDS__7268_B|CCDM_J15282-0921B|Ci_18_2065|G_152-28|G_151-63|GC_20785|GCRV__8937|GJ___586_B|HD_137778|HERZ_14302|HIC__75722|HIP__75722|IDS_15228-0900_B|LTT__6181|NLTT_40296|PPM_198632|SAO_140552|SKY#_27993|SPOCS__657|UBV___13276|UGP_380|YZ__99__5400|YZC_16__5400|uvby98_100137778|TYC_5595-1154-1|**_SHJ__202B|1RXS_J152812.1-092128|2MASS_J15281221-0921279|PMSC_15227-0859B|WISEA_J152812.25-092131.8|GEN#_+1.00137778|WEB_12893|Gaia_DR2_6317854118838346752,Gaia_DR2_6317854118838346752
